aws0_5,aws5_20,aws20_50,aws50_100,aws100_150,aws150_999,aws0_20,aws0_30,aws0_100,aws0_150,aws0_999,tk0_5a,tk5_20a,tk20_50a,tk50_100a,tk100_150a,tk150_999a,tk0_20a,tk0_30a,tk0_100a,tk0_150a,tk0_999a,musumcpcta,soc0_5,soc5_20,soc20_50,soc50_100,soc100_150,soc150_999,soc0_20,soc0_30,soc0_100,soc0_150,soc0_999,tk0_5s,tk5_20s,tk20_50s,tk50_100s,tk100_150s,tk150_999s,tk0_20s,tk0_30s,tk0_100s,tk0_150s,tk0_999s,musumcpcts,nccpi3corn,nccpi3soy,nccpi3cot,nccpi3sg,nccpi3all,pctearthmc,rootznemc,rootznaws,droughty,pwsl1pomu,musumcpct,mukey
4.800000190734863,14.399999618530273,28.799999237060547,51.599998474121094,53.119998931884766,1.7599999904632568,19.200000762939453,28.799999237060547,99.5999984741211,152.72000122070312,154.47999572753906,4,12,24,40,40,1.600000023841858,16,24,80,120,121.5999984741211,80,233,699,1398,1838,769,32,932,1398,4168,4937,4968,4,12,24,40,40,1.600000023841858,16,24,80,120,121.5999984741211,80,0.0010000000474974513,0.04600000008940697,0.2409999966621399,0.1720000058412552,0.2409999966621399,80,150,191,0,NA,100,1416068
6,18,33.29999923706055,45,45,1.7999999523162842,24,36,102.30000305175781,147.3000030517578,149.10000610351562,5,15,30,50,50,2,20,30,100,150,152,100,285,949,1629,1671,1671,67,1234,1866,4533,6203,6270,5,15,30,50,50,2,20,30,100,150,152,100,0.0010000000474974513,0.03999999910593033,0.09799999743700027,0.14300000667572021,0.14300000667572021,100,150,147,1,NA,100,1416069
4.199999809265137,13.579999923706055,20.1200008392334,4.559999942779541,NA,NA,17.780000686645508,26.780000686645508,42.45000076293945,42.45000076293945,42.45000076293945,4.25,12.75,25.5,17.600000381469727,NA,NA,17,25.5,60.099998474121094,60.099998474121094,60.099998474121094,85,324,1110,1049,32,NA,NA,1434,2057,2516,2516,2516,4.25,12.75,17.100000381469727,2,NA,NA,17,25.5,36.099998474121094,36.099998474121094,36.099998474121094,85,0.03400000184774399,0.024000000208616257,0.01600000075995922,0.05000000074505806,0.05000000074505806,85,42,47,1,NA,100,1416072
5.630000114440918,17.399999618530273,29.670000076293945,41.97999954223633,46.75,1.8700000047683716,23.030000686645508,33.5,94.66999816894531,141.4199981689453,143.2899932861328,4,12,24,40,40,1.600000023841858,16,24,80,120,121.5999984741211,80,259,772,837,948,716,29,1031,1388,2816,3532,3561,4,12,24,40,40,1.600000023841858,16,24,80,120,121.5999984741211,80,0.1509999930858612,0.33500000834465027,0.21199999749660492,0.296999990940094,0.33500000834465027,80,150,177,0,NA,100,1421437
5.400000095367432,8.100000381469727,28.440000534057617,36.540000915527344,31.5,1.2599999904632568,13.5,18.899999618530273,78.4800033569336,109.9800033569336,111.23999786376953,4.5,13.5,27,45,45,1.7999999523162842,18,27,90,135,136.8000030517578,90,383,473,1789,2060,1680,67,856,1172,4705,6385,6452,4.5,13.5,27,45,45,1.7999999523162842,18,27,90,135,136.8000030517578,90,0.026000000536441803,0.03400000184774399,0.02800000086426735,0.05000000074505806,0.05000000074505806,90,150,122,1,NA,100,1421630
4.75,12.350000381469727,2.2799999713897705,28.5,28.5,1.1399999856948853,17.100000381469727,17.100000381469727,47.880001068115234,76.37999725341797,77.5199966430664,4.75,14.25,28.5,47.5,47.5,1.899999976158142,19,28.5,95,142.5,144.39999389648438,95,147,381,48,597,597,24,528,528,1173,1769,1793,4.75,12.350000381469727,3.799999952316284,47.5,47.5,1.899999976158142,17.100000381469727,17.100000381469727,68.4000015258789,115.9000015258789,117.80000305175781,95,0.0010000000474974513,0.008999999612569809,0.019999999552965164,0.0560000017285347,0.0560000017285347,95,18,18,1,NA,100,1421812
3.5999999046325684,15.119999885559082,25.31999969482422,1.2599999904632568,NA,NA,18.719999313354492,27.719999313354492,45.29999923706055,45.29999923706055,45.29999923706055,4,12,18,12.600000381469727,NA,NA,16,22,46.599998474121094,46.599998474121094,46.599998474121094,80,276,674,746,NA,NA,NA,950,1246,1696,1696,1696,4,12,16.799999237060547,NA,NA,NA,16,22,32.79999923706055,32.79999923706055,32.79999923706055,80,0.014999999664723873,0.014000000432133675,0.014999999664723873,0.03500000014901161,0.03500000014901161,80,41,55,1,NA,100,1423101
4.25,12.75,25.5,40.209999084472656,29.75,1.190000057220459,17,25.5,82.69999694824219,112.45999908447266,113.63999938964844,4.25,12.75,25.5,42.5,42.5,1.7000000476837158,17,25.5,85,127.5,129.1999969482422,85,350,1050,1855,2463,1722,69,1400,2100,5718,7441,7510,4.25,12.75,25.5,42.5,42.5,1.7000000476837158,17,25.5,85,127.5,129.1999969482422,85,0.07400000095367432,0.19099999964237213,0.19499999284744263,0.23000000417232513,0.23000000417232513,85,150,132,1,NA,100,1424982
5.21999979019165,17.43000030517578,44.5,62.099998474121094,61,1.7999999523162842,22.639999389648438,37.13999938964844,129.24000549316406,190.24000549316406,192.0399932861328,5,15,30,50,50,2,20,30,100,150,152,100,240,705,1490,1729,1268,34,944,1426,4163,5431,5465,5,15,30,50,50,2,20,30,100,150,152,100,0.009999999776482582,0.05900000035762787,0.18299999833106995,0.17800000309944153,0.1899999976158142,100,150,190,0,NA,100,1424987
2.7799999713897705,9,18,30,28.280000686645508,1.0499999523162842,11.779999732971191,17.780000686645508,59.779998779296875,88.05000305175781,89.0999984741211,3.75,11.25,22.5,37.5,37.5,1.5,15,22.5,75,112.5,114,75,197,237,474,789,652,20,434,591,1696,2348,2367,3.75,11.25,22.5,37.5,37.5,1.5,15,22.5,75,112.5,114,75,0.01899999938905239,0.07199999690055847,0.0860000029206276,0.13199999928474426,0.13199999928474426,75,150,117,1,NA,100,1425165
